,index_seg,art,outdoors and recreation,retail shop,professional service,food,nightlife spot,residence,schools&university,cycling facilities,transportation,poi_total
11588,12529,0,0,0,1,0,0,0,0,1,1,3
11589,12530,0,0,0,0,0,0,0,0,0,2,2
11590,12531,0,0,0,0,0,0,0,0,0,1,1
11591,12532,0,0,0,0,0,0,0,0,0,1,1
11592,12533,0,3,0,0,0,0,0,0,0,0,3
11593,12534,0,4,0,0,0,0,0,0,0,0,4
11594,12535,0,3,0,0,0,0,0,0,0,0,3
11595,12536,0,5,0,1,0,0,0,0,30,1,37
11596,12537,0,4,0,0,1,0,0,0,29,4,38
11597,12538,1,3,0,1,1,0,0,0,14,3,23
11598,12539,0,4,1,0,8,0,0,0,16,6,35
11599,12540,0,4,0,1,2,0,0,0,12,9,28
11600,12541,0,3,1,4,3,1,0,0,29,9,50
11601,12542,0,1,0,1,0,0,0,0,1,5,8
11602,12543,0,0,0,1,0,0,0,0,1,5,7
11603,12544,0,0,0,1,0,0,0,0,0,5,6
11604,12545,0,0,0,1,0,0,0,0,1,1,3
11605,12546,0,3,1,0,1,0,0,1,0,0,6
11606,12547,0,0,0,1,0,0,0,0,0,9,10
11607,12548,0,0,0,1,0,0,0,0,0,2,3
11608,12549,0,0,0,1,0,0,0,0,0,1,2
11609,12550,0,0,0,1,0,0,0,0,0,0,1
11610,12551,0,0,0,1,0,0,0,0,0,0,1
11611,12552,0,1,0,1,0,0,0,0,0,1,3
