index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,crime_total,moving_total,parking_total
202,12.0,2.241291147331416,7.0,0.0,52.0,92.87821782178214,6.0
203,4.0,2.241291147331416,5.0,0.0,9.0,92.87821782178214,31.0
204,1.0,2.241291147331416,14.0,0.0,19.0,92.87821782178214,60.0
205,2.0,2.241291147331416,37.0,0.0,18.0,1.0,65.0
206,3.0,2.241291147331416,29.0,0.0,22.0,1.0,33.0
207,1.0,2.241291147331416,40.0,0.0,22.0,92.87821782178214,94.0
208,0.0,2.241291147331416,26.0,0.0,11.0,92.87821782178214,5.0
209,4.0,2.241291147331416,7.0,0.0,19.0,92.87821782178214,135.0
210,1.0,2.241291147331416,5.0,0.0,23.0,2.0,2.0
211,0.0,2.241291147331416,3.0,0.0,22.0,92.87821782178214,68.0
212,0.0,2.241291147331416,17.0,0.0,27.0,2.0,21.0
213,2.0,2.241291147331416,17.0,0.0,21.0,92.87821782178214,17.0
214,5.0,2.241291147331416,22.0,0.0,20.0,92.87821782178214,54.0
215,6.0,2.241291147331416,19.0,0.0,12.0,2.0,12.0
216,6.0,1.0,18.0,0.0,14.0,92.87821782178214,280.31601801222257
217,6.0,2.241291147331416,12.0,9.0,8.0,92.87821782178214,9.0
218,12.0,2.0,13.0,9.0,16.0,1.0,12.0
219,13.0,4.0,1.0,0.0,11.0,92.87821782178214,3.0
220,5.0,2.0,1.0,0.0,13.0,92.87821782178214,52.0
221,4.0,2.241291147331416,11.0,3.0,11.0,1.0,8.0
222,3.0,2.241291147331416,10.0,7.0,7.0,92.87821782178214,20.0
223,4.0,2.241291147331416,9.0,6.0,10.0,92.87821782178214,3.0
224,3.0,2.241291147331416,4.0,0.0,8.0,1.0,16.0
225,3.0,2.241291147331416,8.0,0.0,11.0,92.87821782178214,4.0
226,2.0,1.0,5.0,0.0,11.0,1.0,2.0
227,3.0,1.0,5.0,0.0,14.0,1.0,90.0
228,13.0,2.241291147331416,4.0,0.0,19.0,1.0,36.0
229,5.0,2.241291147331416,2.0,0.0,16.0,2.0,8.0
230,5.0,2.241291147331416,0.0,0.0,10.0,92.87821782178214,10.0
231,9.0,2.241291147331416,5.0,0.0,13.0,11.0,3.0
232,4.0,2.241291147331416,15.0,0.0,30.0,92.87821782178214,8.0
233,6.0,2.241291147331416,2.0,0.0,24.0,92.87821782178214,34.0
234,4.0,2.241291147331416,3.0,0.0,13.0,92.87821782178214,13.0
235,1.0,2.241291147331416,6.0,0.0,15.0,92.87821782178214,2.0
236,3.0,2.241291147331416,0.0,0.0,45.0,92.87821782178214,4.0
237,3.0,2.241291147331416,7.0,0.0,32.0,92.87821782178214,2.0
238,3.0,2.241291147331416,8.0,0.0,19.0,92.87821782178214,2.0
239,4.0,2.241291147331416,2.0,0.0,14.0,92.87821782178214,18.0
240,4.0,2.241291147331416,3.0,0.0,11.0,92.87821782178214,10.0
241,9.0,2.241291147331416,2.0,0.0,25.0,92.87821782178214,20.0
242,8.0,2.241291147331416,9.0,0.0,29.0,92.87821782178214,4.0
243,4.0,2.241291147331416,3.0,0.0,26.0,92.87821782178214,280.31601801222257
244,35.0,2.0,1.0,0.0,0.0,92.87821782178214,4657.0
245,52.0,9.0,4.0,1.0,4.0,14.0,369.0
246,52.0,7.0,9.0,3.0,36.0,21.0,3053.0
247,64.0,2.0,14.0,3.0,45.0,6.0,280.31601801222257
248,64.0,1.0,14.0,5.0,102.0,92.87821782178214,4292.0
249,82.0,5.0,41.0,10.0,129.0,15.0,2633.0
250,66.0,3.0,43.0,12.0,177.0,16.0,953.0
251,63.0,5.0,51.0,23.0,202.0,29.0,3821.0
252,114.0,7.0,84.0,43.0,282.0,602.0,4989.0
253,74.0,6.0,59.0,16.0,298.0,32.0,3379.0
254,67.0,10.0,27.0,3.0,292.0,31.0,651.0
255,35.0,1.0,14.0,0.0,158.0,92.87821782178214,280.31601801222257
256,16.0,5.0,21.0,1.0,156.0,9.0,280.31601801222257
257,33.0,6.0,29.0,4.0,150.0,35.0,854.0
258,35.0,2.0,13.0,4.0,81.0,6.0,537.0
259,25.0,2.0,15.0,3.0,111.0,7.0,250.0
260,20.0,1.0,14.0,5.0,105.0,7.0,236.0
261,15.0,2.241291147331416,12.0,4.0,101.0,92.87821782178214,819.0
262,32.0,3.0,16.0,8.0,133.0,6.0,548.0
263,23.0,5.0,16.0,4.0,150.0,15.0,83.0
264,11.0,2.241291147331416,14.0,3.0,89.0,92.87821782178214,739.0
265,25.0,2.0,31.0,11.0,173.0,8.0,1648.0
266,44.0,4.0,34.0,13.0,212.0,10.0,162.0
267,25.0,8.0,30.0,5.0,211.0,19.0,545.0
268,9.0,2.241291147331416,4.0,0.0,21.0,92.87821782178214,91.0
269,11.0,2.0,16.0,0.0,82.0,7.0,266.0
270,5.0,2.241291147331416,12.0,0.0,68.0,92.87821782178214,2.0
271,7.0,2.241291147331416,4.0,0.0,85.0,92.87821782178214,220.0
272,10.0,2.0,12.0,0.0,98.0,1.0,19.0
273,7.0,1.0,27.0,0.0,114.0,1.0,875.0
274,4.0,1.0,18.0,0.0,112.0,1.0,15.0
275,9.0,2.241291147331416,11.0,0.0,108.0,92.87821782178214,374.0
276,3.0,2.241291147331416,12.0,0.0,69.0,92.87821782178214,1134.0
277,2.0,2.241291147331416,9.0,1.0,54.0,92.87821782178214,280.31601801222257
278,3.0,1.0,4.0,3.0,32.0,92.87821782178214,426.0
279,4.0,2.241291147331416,3.0,3.0,54.0,1.0,280.31601801222257
280,7.0,2.241291147331416,2.0,1.0,67.0,92.87821782178214,5.0
281,2.0,2.241291147331416,5.0,0.0,45.0,92.87821782178214,3.0
282,7.0,1.0,7.0,0.0,65.0,92.87821782178214,2.0
283,6.0,1.0,2.0,0.0,72.0,92.87821782178214,280.31601801222257
284,13.0,1.0,3.0,0.0,16.0,92.87821782178214,30.0
285,5.0,1.0,27.0,0.0,20.0,92.87821782178214,13.0
286,4.0,2.241291147331416,8.0,0.0,24.0,92.87821782178214,11.0
287,3.0,2.241291147331416,19.0,0.0,19.0,92.87821782178214,36.0
288,3.0,2.241291147331416,26.0,0.0,13.0,1.0,10.0
289,13.0,2.241291147331416,4.0,0.0,11.0,92.87821782178214,280.31601801222257
290,12.0,2.241291147331416,7.0,0.0,12.0,92.87821782178214,10.0
291,4.0,2.241291147331416,21.0,0.0,19.0,92.87821782178214,6.0
292,3.0,2.241291147331416,16.0,0.0,17.0,92.87821782178214,3.0
293,5.0,2.241291147331416,16.0,0.0,19.0,1.0,19.0
294,6.0,1.0,8.0,0.0,17.0,1.0,66.0
295,3.0,2.241291147331416,8.0,0.0,26.0,92.87821782178214,280.31601801222257
296,2.0,2.241291147331416,10.0,0.0,24.0,92.87821782178214,7.0
297,3.0,1.0,11.0,0.0,26.0,1.0,280.31601801222257
298,3.0,2.0,10.0,0.0,23.0,92.87821782178214,64.0
299,4.0,2.0,15.0,0.0,27.0,92.87821782178214,5.0
300,4.0,2.241291147331416,19.0,0.0,23.0,92.87821782178214,22.0
301,5.0,2.241291147331416,21.0,0.0,29.0,92.87821782178214,49.0
302,8.0,2.241291147331416,12.0,0.0,25.0,92.87821782178214,72.0
303,20.0,4.0,12.0,0.0,31.0,2.0,45.0
304,13.0,1.0,9.0,0.0,42.0,3.0,20.0
305,5.0,2.241291147331416,3.0,0.0,31.0,92.87821782178214,280.31601801222257
306,9.0,2.241291147331416,8.0,0.0,30.0,92.87821782178214,280.31601801222257
307,10.0,2.241291147331416,6.0,0.0,27.0,92.87821782178214,4.0
308,7.0,2.241291147331416,8.0,0.0,19.0,92.87821782178214,280.31601801222257
309,1.0,2.241291147331416,2.0,0.0,9.0,92.87821782178214,6.0
310,2.0,2.241291147331416,5.0,0.0,16.0,2.0,12.0
311,1.0,2.0,5.0,0.0,14.0,92.87821782178214,280.31601801222257
312,2.0,2.241291147331416,5.0,0.0,16.0,1.0,280.31601801222257
313,2.0,2.241291147331416,1.0,0.0,12.0,92.87821782178214,280.31601801222257
314,1.0,1.0,2.0,0.0,11.0,92.87821782178214,9.0
315,1.0,1.0,3.0,0.0,14.0,3.0,280.31601801222257
316,2.0,1.0,1.0,0.0,16.0,92.87821782178214,4.0
