index_seg,YEAR,MONTH,v0_total,USERTYPE_Biker,USERTYPE_Car Driver,USERTYPE_Pedestrian,REQUESTTYPE_Accessibility Issue,REQUESTTYPE_Blocking the bikebox,REQUESTTYPE_Blocking the crosswalk,REQUESTTYPE_Cyclist behavior,REQUESTTYPE_Double parking,REQUESTTYPE_Failure to stop for pedestrians,REQUESTTYPE_Jaywalking,REQUESTTYPE_Long distance to cross,REQUESTTYPE_Long wait to cross,REQUESTTYPE_Not enough time to cross,REQUESTTYPE_Other Biking Issue,REQUESTTYPE_Other Driving Issue,REQUESTTYPE_Other Walking Issue,REQUESTTYPE_Poor visibility,REQUESTTYPE_Red light running,REQUESTTYPE_Speeding,REQUESTTYPE_Stop sign running
269,2015.0,7.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
272,2015.0,8.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,2015.0,8.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,2015.0,8.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
277,2015.0,8.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
278,2015.0,8.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
281,2015.0,9.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
282,2015.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
282,2015.0,9.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
283,2015.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
284,2015.0,7.0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
284,2016.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
285,2015.0,7.0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
285,2016.0,4.0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
288,2015.0,9.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
289,2015.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
289,2015.0,9.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
290,2015.0,7.0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
290,2016.0,5.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
291,2015.0,7.0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
291,2015.0,9.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
292,2015.0,9.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
300,2015.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
304,2015.0,8.0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
305,2015.0,8.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
306,2016.0,11.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
307,2015.0,7.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
307,2016.0,11.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
308,2015.0,7.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
309,2015.0,7.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
310,2015.0,7.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
311,2015.0,7.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
311,2016.0,11.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312,2015.0,7.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
312,2015.0,10.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
313,2015.0,10.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
314,2015.0,7.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
315,2015.0,7.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
318,2015.0,7.0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
318,2015.0,8.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
