index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,poi_total_neighbor,crash_total_neighbor,311_total_neighbor,311_total_not_parking_meter_neighbor,v0_total_neighbor,crime_total_neighbor,parking_total_neighbor
628,26.0,13.0,60.0,0.0,5.0,316.0,15.0,984.0,25.142857142857146,14.857142857142858,45.57142857142857,0.14285714285714285,1.8571428571428568,313.7142857142857,2311.142857142857
629,7.0,5.0,32.0,1.0,1.0,91.0,160.36049058256683,36.0,5.777777777777778,5.666666666666668,42.444444444444436,0.5555555555555556,2.333333333333333,93.22222222222223,150.33333333333334
630,7.0,4.0,30.0,0.0,3.0,92.0,5.0,8.0,4.166666666666667,5.25,37.583333333333336,1.3333333333333333,2.4166666666666665,75.58333333333333,349.209549401418
631,4.0,5.0,49.0,0.0,2.0,61.0,5.0,603.3206537460227,4.6923076923076925,5.9230769230769225,35.769230769230774,1.1538461538461535,2.0769230769230766,80.76923076923076,327.1687645439225
632,3.0,5.0,34.0,0.0,1.0,65.0,160.36049058256683,603.3206537460227,4.769230769230768,5.9230769230769225,36.92307692307692,1.1538461538461535,2.1538461538461537,80.46153846153847,327.1687645439225
633,7.0,8.0,36.0,0.0,0.0,82.0,160.36049058256683,19.0,4.363636363636363,6.181818181818183,41.36363636363637,0.09090909090909093,1.5454545454545454,76.0,359.04678116518323
634,7.0,11.0,52.0,0.0,1.0,46.0,5.0,71.0,4.5,6.333333333333332,44.16666666666666,0.0,0.5,72.0,87.66666666666669
635,5.0,4.0,45.0,0.0,0.0,55.0,1.0,34.0,6.25,7.5,43.25,0.25,0.25,71.75,129.75
636,2.0,3.0,36.0,1.0,0.0,51.0,125.0,66.0,6.25,7.0,43.5,0.5,0.25,99.0,233.5
637,3.0,7.0,24.0,1.0,0.0,54.0,1.0,125.0,5.75,5.75,41.25,1.0,0.25,122.5,330.5
638,3.0,6.0,40.0,0.0,0.0,58.0,1.0,138.0,7.5,8.0,40.5,1.5,0.0,140.0,289.0
639,5.0,4.0,49.0,0.0,0.0,106.0,3.0,176.0,8.75,12.0,73.5,8.0,0.0,138.5,283.0
640,5.0,6.0,90.0,0.0,0.0,142.0,7.0,155.0,9.142857142857142,14.428571428571427,69.57142857142857,10.285714285714286,0.14285714285714285,150.28571428571428,395.4285714285714
641,5.0,11.0,93.0,0.0,0.0,140.0,4.0,346.0,7.666666666666668,12.166666666666664,60.83333333333334,1.1666666666666667,0.16666666666666666,155.0,452.16666666666674
642,10.0,13.0,64.0,0.0,0.0,166.0,9.0,68.0,11.2,9.6,55.6,9.6,0.4,219.6,300.4
643,10.0,13.0,51.0,0.0,1.0,137.0,28.0,176.0,8.1,18.0,35.3,0.2,0.8,357.5,248.67763157894737
644,5.0,12.0,40.0,0.0,1.0,80.0,6.0,6.0,7.428571428571429,12.357142857142858,29.714285714285715,1.7857142857142858,0.35714285714285715,335.7857142857143,289.07142857142856
645,3.0,4.0,27.0,0.0,0.0,79.0,1.0,157.0,6.769230769230767,9.303575629263703,25.153846153846153,1.7692307692307692,0.3076923076923077,289.84615384615387,299.0
646,8.0,8.0,21.0,0.0,0.0,48.0,9.0,82.0,4.727272727272728,5.358771198220738,16.545454545454547,2.363636363636364,0.09090909090909093,187.45454545454547,430.5128461356405
647,50.0,37.0,34.0,8.0,1.0,111.0,18.0,600.0,48.33333333333334,22.635485651214122,47.444444444444436,16.88888888888889,3.7777777777777777,123.33333333333331,1117.1823674991163
648,56.0,45.0,55.0,16.0,1.0,268.0,27.0,292.0,61.625,32.125,114.0,61.5,2.875,240.875,2729.75
649,56.0,60.0,127.0,57.0,0.0,280.0,36.0,643.0,64.42857142857143,36.142857142857146,235.7142857142857,176.28571428571428,2.5714285714285716,354.71428571428567,4027.571428571429
650,73.0,51.0,117.0,68.0,4.0,269.0,267.0,389.0,64.0,31.83333333333333,191.0,136.16666666666666,3.6666666666666665,286.6666666666667,3430.0
651,54.0,25.0,55.0,28.0,4.0,205.0,160.36049058256683,573.0,67.16666666666667,38.0,98.66666666666669,44.83333333333334,4.0,224.0,2470.6666666666665
652,90.0,36.0,88.0,18.0,2.0,236.0,30.0,988.0,68.5,39.0,150.875,100.375,2.875,277.875,5511.0
653,81.0,68.0,76.0,16.0,3.0,435.0,41.0,4677.0,84.57142857142857,48.714285714285715,233.28571428571428,157.42857142857142,3.1428571428571432,387.1428571428572,5228.760093392289
654,81.0,82.0,243.0,135.0,3.0,529.0,70.0,6143.0,71.16666666666667,56.33333333333334,276.0,200.5,3.1666666666666665,473.0,6828.720108957671
655,82.0,46.0,129.0,49.0,4.0,544.0,120.0,1473.0,56.375,23.288636363636364,183.625,136.625,4.375,515.0,1971.935606060606
656,54.0,36.0,216.0,146.0,5.0,363.0,27.0,11290.0,41.41666666666666,13.35909090909091,81.0,38.41666666666666,4.416666666666667,379.0,984.3106060606059
657,71.0,50.0,451.0,331.0,3.0,581.0,105.0,2242.0,39.66666666666666,22.16666666666667,200.5,110.33333333333331,4.333333333333333,450.16666666666674,4737.333333333333
658,52.0,42.0,278.0,176.0,2.0,567.0,43.0,12261.0,43.875,26.5,273.5,197.25,3.75,469.25,2797.570384748556
659,50.0,20.0,352.0,291.0,1.0,535.0,120.0,127.0,38.111111111111114,18.777777777777786,219.22222222222226,155.55555555555554,2.0,510.0,5439.480072638447
660,46.0,13.0,374.0,299.0,2.0,683.0,2.0,2808.0,34.285714285714285,14.142857142857142,163.57142857142858,102.57142857142857,0.7142857142857143,516.2857142857143,4094.0
661,45.0,24.0,148.0,60.0,3.0,547.0,54.0,2324.0,36.57142857142857,11.714285714285715,169.42857142857142,100.14285714285714,1.1428571428571428,528.1428571428571,4297.714285714285
662,49.0,12.0,255.0,149.0,2.0,473.0,2.0,3965.0,36.42857142857143,13.571428571428573,162.42857142857142,86.57142857142857,1.4285714285714286,505.57142857142856,4730.0
663,43.0,19.0,265.0,191.0,1.0,548.0,51.0,2718.0,31.857142857142854,15.142857142857142,157.42857142857142,76.57142857142857,1.1428571428571428,461.57142857142856,2980.142857142857
664,40.0,17.0,96.0,23.0,2.0,493.0,48.0,4982.0,31.42857142857143,18.571428571428573,158.14285714285714,89.14285714285714,0.7142857142857143,493.57142857142856,3173.4285714285716
665,52.0,16.0,241.0,158.0,2.0,602.0,187.0,3876.0,38.8,24.4,173.0,89.0,1.8,530.2,4763.0
666,57.0,21.0,248.0,160.0,4.0,612.0,9.0,2547.0,39.333333333333336,26.66666666666667,180.3333333333333,96.0,2.0,625.3333333333334,3075.0
667,49.0,26.0,112.0,49.0,4.0,831.0,153.0,1679.0,38.2,32.0,202.4,119.6,2.4,724.8,3531.0
668,42.0,62.0,134.0,63.0,3.0,717.0,13.0,2110.0,51.6,77.8,253.2,176.4,2.8,814.2,5919.0
669,49.0,97.0,241.0,138.0,1.0,715.0,119.0,4789.0,47.16666666666666,63.33333333333334,269.5,192.66666666666663,3.0,675.8333333333334,5420.5
670,41.0,21.0,157.0,85.0,1.0,496.0,37.0,4758.0,40.66666666666666,34.833333333333336,225.16666666666663,153.83333333333334,2.0,581.5,3368.0
671,45.0,22.0,153.0,114.0,2.0,463.0,23.0,1694.0,37.714285714285715,20.857142857142858,101.42857142857143,43.57142857142857,1.8571428571428568,427.4285714285714,2024.7142857142856
672,25.0,19.0,28.0,9.0,3.0,341.0,17.0,1818.0,33.0,16.428571428571427,90.14285714285714,31.142857142857146,1.7142857142857142,413.0,1333.2857142857142
673,25.0,7.0,85.0,35.0,3.0,262.0,1.0,65.0,30.714285714285715,15.0,74.14285714285714,26.0,1.5714285714285714,404.4285714285714,1575.0
674,22.0,6.0,93.0,24.0,1.0,386.0,61.0,1390.0,22.857142857142854,8.714285714285714,52.85714285714285,9.714285714285714,1.8571428571428568,332.0,1591.0458076780033
675,20.0,5.0,23.0,0.0,2.0,304.0,21.0,69.0,20.25,8.125,56.25,10.375,1.375,337.25,1385.7900817182528
676,13.0,2.0,4.0,0.0,1.0,194.0,6.0,603.3206537460227,17.571428571428573,10.714285714285714,38.714285714285715,3.4285714285714284,1.2857142857142858,296.42857142857144,690.6172362494318
677,11.0,14.0,29.0,0.0,2.0,281.0,3.0,174.0,18.875,9.0,31.625,2.75,1.0,267.875,831.5801634365057
678,12.0,10.0,26.0,0.0,1.0,187.0,160.36049058256683,603.3206537460227,16.25,9.125,37.25,9.25,0.875,260.5,606.3301634365057
679,17.0,12.0,46.0,22.0,1.0,214.0,30.0,787.0,18.125,10.75,48.375,8.25,0.875,248.625,703.0801634365057
