index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,poi_total_neighbor,crash_total_neighbor,311_total_neighbor,311_total_not_parking_meter_neighbor,v0_total_neighbor,crime_total_neighbor,moving_total_neighbor,parking_total_neighbor
48,2.0,1.0,14.0,0.0,0.0,112.0,160.36049058256683,7.0,3.4285714285714284,3.5313386944181646,23.285714285714285,1.7142857142857142,0.0,151.42857142857142,27.337212940366694,573.7142857142858
49,2.0,1.0,10.0,0.0,0.0,83.0,20.0,8.0,5.833333333333332,3.6666666666666665,25.16666666666667,1.3333333333333333,0.0,132.83333333333334,54.95349686085561,89.5
50,6.0,1.0,51.0,1.0,0.0,62.0,2.0,290.0,5.111111111111111,3.831451069081564,43.111111111111114,0.7777777777777778,0.0,64.22222222222223,86.38231474912534,176.29328561690525
51,0.0,1.0,42.0,0.0,0.0,94.0,1.0,7.0,3.0,1.3333333333333333,64.0,0.16666666666666666,0.0,73.0,56.95349686085561,258.5
52,19.0,3.0,0.0,0.0,0.0,1.0,3.0,287.0,21.571428571428577,8.520949084028555,0.5714285714285714,0.0,0.5714285714285714,1.5714285714285714,10.043956043956047,24.779220779220772
53,36.0,3.0,37.0,33.0,0.0,11.0,15.0,552.0,26.125,5.245454545454546,29.125,17.0,1.125,8.125,19.394230769230774,339.60303028284613
54,31.0,2.0,36.0,33.0,0.0,13.0,22.0,603.3206537460227,23.142857142857146,4.724372932906948,115.42857142857143,103.78571428571428,0.5714285714285714,12.5,160.60629343229925,954.7995670764993
55,29.0,1.0,199.0,195.0,0.0,15.0,160.36049058256683,2558.0,20.928571428571427,5.204327994401745,102.57142857142857,91.07142857142857,0.42857142857142855,15.214285714285715,160.67772200372784,1129.9653280583584
56,15.0,1.0,230.0,221.0,0.0,10.0,160.36049058256683,603.3206537460227,20.0625,7.491286995101527,103.0,91.375,0.3125,24.875,176.14314500960538,999.8106409287793
57,18.0,6.0,65.0,46.0,0.0,61.0,160.36049058256683,3476.0,18.0,8.790706128108297,135.66666666666666,122.33333333333331,0.13333333333333333,28.466666666666665,183.3526880102457,1104.479595938066
58,17.0,23.0,299.0,241.0,0.0,108.0,7.0,4547.0,18.88888888888889,19.0,229.66666666666663,187.11111111111111,0.6666666666666666,102.44444444444444,41.114538965930016,1803.888888888889
59,30.0,16.0,757.0,711.0,1.0,165.0,14.0,1756.0,19.11111111111111,11.937637969094926,247.11111111111111,213.66666666666663,0.7777777777777778,114.44444444444444,54.08010901834819,1508.8134059717804
60,23.0,1.0,421.0,397.0,1.0,110.0,1.0,54.0,25.25,11.263176048565118,197.83333333333331,170.33333333333334,1.1666666666666667,123.16666666666669,135.4437837806772,1728.2661615892496
61,17.0,17.0,187.0,157.0,2.0,416.0,30.0,230.0,28.6,22.743874172185432,44.4,24.5,1.0,94.5,156.53254053681263,542.3514592817016
62,11.0,19.0,94.0,60.0,3.0,110.0,6.0,698.0,7.5,13.339921357615895,51.25,25.375,1.0,178.75,104.9197280794103,444.0
63,9.0,8.0,42.0,10.0,1.0,132.0,8.0,62.0,9.6,15.345454545454546,39.7,7.6,0.9,153.1,29.00308506933701,191.17508156893427
64,14.0,48.0,98.0,7.0,1.0,186.0,8.0,603.3206537460227,11.181818181818182,23.677685950413217,48.45454545454545,6.727272727272728,1.2727272727272727,174.27272727272728,14.454545454545455,155.40274199484728
65,18.0,39.0,87.0,0.0,4.0,209.0,1.0,130.0,13.8,25.771937086092716,57.5,5.0,1.1,214.9,31.136049058256685,321.53206537460227
66,19.0,8.0,31.0,0.0,1.0,231.0,7.0,124.0,17.0,22.4,53.4,4.6,2.2,240.6,11.2,853.8
67,11.0,14.0,32.0,0.0,2.0,171.0,6.0,241.0,14.8,25.6,57.6,4.2,2.4,232.0,11.4,839.8
68,3.0,6.0,32.0,0.0,2.0,181.0,2.0,11.0,10.166666666666666,19.33333333333333,67.66666666666667,2.833333333333333,2.0,225.16666666666663,33.89341509709447,825.0
69,4.0,5.0,40.0,0.0,1.0,179.0,2.0,423.0,9.857142857142858,10.142857142857142,48.85714285714285,1.8571428571428568,0.8571428571428571,220.28571428571428,25.908641511795263,574.7142857142858
70,12.0,20.0,30.0,0.0,1.0,183.0,7.0,4.0,11.375,10.25,35.625,2.125,1.75,193.25,73.42006132282086,415.375
71,11.0,17.0,14.0,0.0,4.0,134.0,160.36049058256683,595.0,11.125,13.875,40.625,0.375,2.0,193.125,63.083795013850406,401.375
72,7.0,3.0,21.0,0.0,3.0,175.0,17.0,41.0,10.444444444444443,15.96881898454746,44.88888888888889,0.3333333333333333,2.888888888888889,191.66666666666663,77.18902342268596,682.8888888888888
73,3.0,7.719370860927152,25.0,0.0,0.0,160.0,20.0,973.0,7.142857142857142,7.571428571428571,44.42857142857143,0.5714285714285714,2.4285714285714284,203.57142857142856,42.52874440059621,683.7142857142858
74,6.0,1.0,35.0,0.0,0.0,187.0,44.0,21.0,17.272727272727273,7.5199428055388315,43.81818181818182,0.3636363636363637,0.7272727272727273,191.0,432.1846227903063,701.2401188629132
75,30.0,3.0,42.0,0.0,2.0,181.0,1.0,236.0,21.272727272727273,8.0,40.36363636363637,1.0909090909090908,1.0909090909090908,196.72727272727272,446.6109982877394,608.3601782943697
76,27.0,14.0,37.0,0.0,3.0,170.0,6.0,603.3206537460227,21.818181818181817,7.338124623720652,39.45454545454545,1.0909090909090908,1.0,192.27272727272728,445.9746346513757,360.78557340836784
77,22.0,19.0,19.0,0.0,1.0,196.0,160.36049058256683,603.3206537460227,25.09090909090909,11.610851896447926,45.90909090909091,1.818181818181818,1.4545454545454546,197.63636363636363,434.7600445984152,451.05830068109503
78,9.0,7.719370860927152,26.0,0.0,0.0,188.0,160.36049058256683,169.0,21.88888888888889,14.0,52.111111111111114,1.3333333333333333,1.2222222222222223,199.22222222222226,549.6356645739038,510.55132902645204
79,10.0,2.0,86.0,0.0,0.0,165.0,160.36049058256683,213.0,8.428571428571429,3.245624408703879,47.57142857142857,1.5714285714285714,0.14285714285714285,187.0,59.62733446799099,383.0
80,13.0,1.0,47.0,1.0,0.0,181.0,7.0,208.0,8.285714285714286,2.2857142857142856,52.14285714285714,1.8571428571428568,0.0,170.28571428571428,54.341620182276706,321.7142857142857
81,13.0,1.0,32.0,1.0,0.0,155.0,6.0,164.0,9.571428571428571,3.245624408703879,44.714285714285715,1.1428571428571428,0.14285714285714285,158.0,49.67442588073339,292.0
82,14.0,1.0,33.0,0.0,0.0,130.0,8.0,267.0,11.0,6.286561810154526,44.83333333333334,0.16666666666666666,0.16666666666666666,129.66666666666666,83.18024529128341,302.3333333333333
83,10.0,3.0,31.0,0.0,0.0,83.0,4.0,15.0,12.333333333333336,9.0,56.66666666666666,0.0,0.0,111.66666666666669,58.78683019418894,440.66666666666674
