column,,column,knn,I,p_norm,p_rand,z_norm,z_rand,ftr_type
PARK LESS THAN 40 FEET FROM AN INTERSECTION,2152,PARK LESS THAN 40 FEET FROM AN INTERSECTION,3,0.22140051111221282,0.0,0.0,33.897018492604396,33.91439777890007,parking
STREETTYPE_BLVD,43,STREETTYPE_BLVD,4,0.22064228979689887,0.0,0.0,38.40819947382445,38.50439469720961,seg_attr
Shared Lane,622,Shared Lane,3,0.2188751929480375,0.0,0.0,33.510514547219316,33.808380354740216,bk_opendc
311_ROADWAY REPAIR,1192,311_ROADWAY REPAIR,3,0.2167399507539328,0.0,0.0,33.183712346973124,33.29916706625924,311
FAILURE TO SECURE DC TAGS,2021,FAILURE TO SECURE DC TAGS,2,0.2124851447129723,0.0,0.0,27.148938665824897,27.505268971425956,parking
cycle_way_one,496,cycle_way_one,7,0.20843724745329975,0.0,0.0,47.30238803714744,47.41270667052118,bk_osm
OBSTRUCTING CROSSWALK,2102,OBSTRUCTING CROSSWALK,3,0.20459635046344823,0.0,0.0,31.325115085829793,31.368312190669652,parking
Climbing Lane,583,Climbing Lane,4,0.19638301323465535,0.0,0.0,34.186692728129415,34.24018822354975,bk_opendc
311_LIGHT-LIGHT POLE,990,311_LIGHT-LIGHT POLE,1,0.19614890431372267,0.0,0.0,18.572780677415878,18.601532042658654,311
FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,1900,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,1,0.1956148979391669,0.0,0.0,18.522236193933544,18.567556100688652,moving
FAIL TO DISPLAY CURRENT INSPECTION STICKER,1983,FAIL TO DISPLAY CURRENT INSPECTION STICKER,4,0.19341229035497812,0.0,0.0,33.66973886744973,33.84033212353778,parking
311_STRCAR,1402,311_STRCAR,3,0.19242694057699375,0.0,0.0,29.462567625138274,29.473393603726468,311
ud_bridge_SgAsEg,423,ud_bridge_SgAsEg,4,0.19188495133068295,0.0,0.0,33.403957158028916,34.76354337991455,net_SaE
crash_1stharm_null,833,crash_1stharm_null,4,0.18710318108262125,0.0,0.0,32.57185174438383,32.84717948040116,crash
STREETTYPE_AVE,35,STREETTYPE_AVE,6,0.1868403023991018,0.0,0.0,39.2690227307079,44.92389187401825,seg_attr
NO PARKING STREET CLEANING,2060,NO PARKING STREET CLEANING,1,0.18588800985968298,0.0,0.0,17.601572027186517,17.658385540954185,parking
