,column,db_b,I,EI,p_norm,p_rand,p_sim,p_z_sim
167,ud_btw_cntr_SgAsNd,200,0.12614700323527198,-7.395902669920864e-05,0.0,0.0,0.002,0.0
168,ud_btw_cntr_SgAsNd,300,0.13181624442811496,-7.395902669920864e-05,0.0,0.0,0.002,0.0
169,ud_btw_cntr_SgAsNd,400,0.11072385151079123,-7.395902669920864e-05,0.0,0.0,0.002,0.0
170,ud_clo_cntr_SgAsNd,100,0.7047042066873457,-7.395902669920864e-05,0.0,0.0,0.002,0.0
171,ud_clo_cntr_SgAsNd,150,0.6723045594150567,-7.395902669920864e-05,0.0,0.0,0.002,0.0
172,ud_clo_cntr_SgAsNd,200,0.6516225283195548,-7.395902669920864e-05,0.0,0.0,0.002,0.0
173,ud_clo_cntr_SgAsNd,300,0.6211588066543259,-7.395902669920864e-05,0.0,0.0,0.002,0.0
174,ud_clo_cntr_SgAsNd,400,0.595505782865878,-7.395902669920864e-05,0.0,0.0,0.002,0.0
175,ud_deg_cntr_SgAsNd,100,0.4696219004070027,-7.395902669920864e-05,0.0,0.0,0.002,0.0
176,ud_deg_cntr_SgAsNd,150,0.4275584155316721,-7.395902669920864e-05,0.0,0.0,0.002,0.0
177,ud_deg_cntr_SgAsNd,200,0.3835428582632993,-7.395902669920864e-05,0.0,0.0,0.002,0.0
178,ud_deg_cntr_SgAsNd,300,0.31636945526451127,-7.395902669920864e-05,0.0,0.0,0.002,0.0
179,ud_deg_cntr_SgAsNd,400,0.2723768829748081,-7.395902669920864e-05,0.0,0.0,0.002,0.0
180,ud_eig_cntr_SgAsNd,100,0.6954156819186923,-7.395902669920864e-05,0.0,0.0,0.002,0.0
181,ud_eig_cntr_SgAsNd,150,0.5681465514263103,-7.395902669920864e-05,0.0,0.0,0.002,0.0
182,ud_eig_cntr_SgAsNd,200,0.4452141675691247,-7.395902669920864e-05,0.0,0.0,0.002,0.0
183,ud_eig_cntr_SgAsNd,300,0.2943930112243858,-7.395902669920864e-05,0.0,0.0,0.002,0.0
184,ud_eig_cntr_SgAsNd,400,0.19326944969510723,-7.395902669920864e-05,0.0,0.0,0.002,0.0
185,ud_far_cntr_SgAsNd,100,0.8025555855648309,-7.395902669920864e-05,0.0,0.0,0.002,0.0
186,ud_far_cntr_SgAsNd,150,0.7662224946768652,-7.395902669920864e-05,0.0,0.0,0.002,0.0
187,ud_far_cntr_SgAsNd,200,0.7539996427174679,-7.395902669920864e-05,0.0,0.0,0.002,0.0
188,ud_far_cntr_SgAsNd,300,0.7274665421890895,-7.395902669920864e-05,0.0,0.0,0.002,0.0
189,ud_far_cntr_SgAsNd,400,0.7057805775943283,-7.395902669920864e-05,0.0,0.0,0.002,0.0
190,ud_hub_score_SgAsNd,100,0.6954129334832916,-7.395902669920864e-05,0.0,0.0,0.002,0.0
191,ud_hub_score_SgAsNd,150,0.5681438399949886,-7.395902669920864e-05,0.0,0.0,0.002,0.0
192,ud_hub_score_SgAsNd,200,0.445210789413364,-7.395902669920864e-05,0.0,0.0,0.002,0.0
193,ud_hub_score_SgAsNd,300,0.2943890030196884,-7.395902669920864e-05,0.0,0.0,0.002,0.0
194,ud_hub_score_SgAsNd,400,0.19326473357542573,-7.395902669920864e-05,0.0,0.0,0.002,0.0
195,ud_node_ecc_SgAsNd,100,0.7939848133617976,-7.395902669920864e-05,0.0,0.0,0.002,0.0
196,ud_node_ecc_SgAsNd,150,0.766853275649483,-7.395902669920864e-05,0.0,0.0,0.002,0.0
197,ud_node_ecc_SgAsNd,200,0.75526212969595,-7.395902669920864e-05,0.0,0.0,0.002,0.0
198,ud_node_ecc_SgAsNd,300,0.7307266431001107,-7.395902669920864e-05,0.0,0.0,0.002,0.0
199,ud_node_ecc_SgAsNd,400,0.7121691990769903,-7.395902669920864e-05,0.0,0.0,0.002,0.0
200,ud_page_rank_SgAsNd,100,0.22066376513122374,-7.395902669920864e-05,0.0,0.0,0.002,0.0
201,ud_page_rank_SgAsNd,150,0.18975673693853004,-7.395902669920864e-05,0.0,0.0,0.002,0.0
202,ud_page_rank_SgAsNd,200,0.16271699525318803,-7.395902669920864e-05,0.0,0.0,0.002,0.0
203,ud_page_rank_SgAsNd,300,0.1234331520296616,-7.395902669920864e-05,0.0,0.0,0.002,0.0
204,ud_page_rank_SgAsNd,400,0.10265736626180717,-7.395902669920864e-05,0.0,0.0,0.002,0.0
205,d_btw_cntr_SgAsEg,100,0.14875800648430038,-7.395902669920864e-05,0.0,0.0,0.002,0.0
206,d_btw_cntr_SgAsEg,150,0.1610753561044636,-7.395902669920864e-05,0.0,0.0,0.002,0.0
207,d_btw_cntr_SgAsEg,200,0.20468141023132344,-7.395902669920864e-05,0.0,0.0,0.002,0.0
208,d_btw_cntr_SgAsEg,300,0.18641424102007687,-7.395902669920864e-05,0.0,0.0,0.002,0.0
209,d_btw_cntr_SgAsEg,400,0.1527602882564322,-7.395902669920864e-05,0.0,0.0,0.002,0.0
210,ud_bridge_SgAsEg,100,0.19494232398815736,-7.395902669920864e-05,0.0,0.0,0.002,0.0
211,ud_bridge_SgAsEg,150,0.17911267400991984,-7.395902669920864e-05,0.0,0.0,0.002,0.0
212,ud_bridge_SgAsEg,200,0.15714223426312032,-7.395902669920864e-05,0.0,0.0,0.002,0.0
213,ud_bridge_SgAsEg,300,0.12226681818188112,-7.395902669920864e-05,0.0,0.0,0.002,0.0
214,ud_bridge_SgAsEg,400,0.09480010105451378,-7.395902669920864e-05,0.0,0.0,0.002,0.0
215,ud_btw_cntr_SgAsEg,100,0.10036961647286287,-7.395902669920864e-05,0.0,0.0,0.002,0.0
216,ud_btw_cntr_SgAsEg,150,0.11682335486366106,-7.395902669920864e-05,0.0,0.0,0.002,0.0
217,ud_btw_cntr_SgAsEg,200,0.12040249644139432,-7.395902669920864e-05,0.0,0.0,0.002,0.0
218,ud_btw_cntr_SgAsEg,300,0.12312322665232674,-7.395902669920864e-05,0.0,0.0,0.002,0.0
219,ud_btw_cntr_SgAsEg,400,0.1024258593427536,-7.395902669920864e-05,0.0,0.0,0.002,0.0
220,is_shared,100,0.14949680285397254,-7.395902669920864e-05,0.0,0.0,0.002,0.0
221,is_shared,150,0.20708086702388742,-7.395902669920864e-05,0.0,0.0,0.002,0.0
222,is_shared,200,0.14202879560718706,-7.395902669920864e-05,0.0,0.0,0.002,0.0
223,is_shared,300,0.09697687081574491,-7.395902669920864e-05,0.0,0.0,0.002,0.0
224,is_shared,400,0.07313393794544394,-7.395902669920864e-05,0.0,0.0,0.002,0.0
225,cycle_lane_both,100,0.21062983581223566,-7.395902669920864e-05,0.0,0.0,0.002,0.0
226,cycle_lane_both,150,0.20988979522145063,-7.395902669920864e-05,0.0,0.0,0.002,0.0
227,cycle_lane_both,200,0.16454954236410788,-7.395902669920864e-05,0.0,0.0,0.002,0.0
228,cycle_lane_both,300,0.12273907684216266,-7.395902669920864e-05,0.0,0.0,0.002,0.0
229,cycle_lane_both,400,0.09362697948767836,-7.395902669920864e-05,0.0,0.0,0.002,0.0
230,cycle_lane_one,100,0.2142380166766366,-7.395902669920864e-05,0.0,0.0,0.002,0.0
231,cycle_lane_one,150,0.22822341671903534,-7.395902669920864e-05,0.0,0.0,0.002,0.0
232,cycle_lane_one,200,0.20848310104615686,-7.395902669920864e-05,0.0,0.0,0.002,0.0
233,cycle_lane_one,300,0.1735261725228395,-7.395902669920864e-05,0.0,0.0,0.002,0.0
234,cycle_lane_one,400,0.15068335266122207,-7.395902669920864e-05,0.0,0.0,0.002,0.0
235,cycle_lane_right,100,0.2451891567224038,-7.395902669920864e-05,0.0,0.0,0.002,0.0
236,cycle_lane_right,150,0.1747165466385285,-7.395902669920864e-05,0.0,0.0,0.002,0.0
237,cycle_lane_right,200,0.14434474690877208,-7.395902669920864e-05,0.0,0.0,0.002,0.0
238,cycle_lane_right,300,0.09608670228968008,-7.395902669920864e-05,0.0,0.0,0.002,0.0
239,cycle_lane_right,400,0.07021775174271955,-7.395902669920864e-05,0.0,0.0,0.002,0.0
240,cycle_way_both,100,0.22023820011426282,-7.395902669920864e-05,0.0,0.0,0.002,0.0
241,cycle_way_both,150,0.22464646454720238,-7.395902669920864e-05,0.0,0.0,0.002,0.0
242,cycle_way_both,200,0.1762028092753886,-7.395902669920864e-05,0.0,0.0,0.002,0.0
243,cycle_way_both,300,0.14376117053620777,-7.395902669920864e-05,0.0,0.0,0.002,0.0
244,cycle_way_both,400,0.1101708714830923,-7.395902669920864e-05,0.0,0.0,0.002,0.0
245,cycle_way_one,100,0.16761995400711244,-7.395902669920864e-05,0.0,0.0,0.002,0.0
246,cycle_way_one,150,0.18299865148060268,-7.395902669920864e-05,0.0,0.0,0.002,0.0
247,cycle_way_one,200,0.1570110484732516,-7.395902669920864e-05,0.0,0.0,0.002,0.0
248,cycle_way_one,300,0.10670414118382857,-7.395902669920864e-05,0.0,0.0,0.002,0.0
249,cycle_way_one,400,0.07758738640489596,-7.395902669920864e-05,0.0,0.0,0.002,0.0
250,cycle_way_right,100,0.055657986574689906,-7.395902669920864e-05,1.8429702208777599e-13,1.816324868286756e-13,0.006,0.0
251,cycle_way_right,150,0.24077514538808037,-7.395902669920864e-05,0.0,0.0,0.002,0.0
