,column,db_nb,I,EI,p_norm,p_rand,z_norm,z_rand,p_sim,p_z_sim
314,is_shared,400,0.09917023387056552,-7.395902669920864e-05,0.0,0.0,45.027468515116816,45.08781380965176,0.002,0.0
315,cycle_lane_both,10,-0.005902983493268867,-7.395902669920864e-05,1.9510962888462742,1.9502389028682805,-0.030650654792696668,-0.03118819867035163,0.978,0.9574412971438364
316,cycle_lane_both,50,0.1736820717520373,-7.395902669920864e-05,0.0,0.0,8.494166824828875,8.643075207419948,0.002,0.0
317,cycle_lane_both,100,0.1984644298022598,-7.395902669920864e-05,0.0,0.0,26.139707753724874,26.596881758534085,0.002,0.0
318,cycle_lane_both,150,0.20629763526356532,-7.395902669920864e-05,0.0,0.0,40.83728295876795,41.54897086081678,0.002,0.0
319,cycle_lane_both,200,0.17679092032528526,-7.395902669920864e-05,0.0,0.0,45.125390205404926,45.90844147536264,0.002,0.0
320,cycle_lane_both,300,0.14532666050559453,-7.395902669920864e-05,0.0,0.0,52.25090462965307,53.14797179035773,0.002,0.0
321,cycle_lane_both,400,0.12154755269701663,-7.395902669920864e-05,0.0,0.0,55.18014334168119,56.11532045568215,0.002,0.0
322,cycle_lane_one,10,0.023386059184136842,-7.395902669920864e-05,1.8036450223106932,1.8012647070664753,0.1233593929369588,0.12486256707884846,0.614,0.9132654240266349
323,cycle_lane_one,50,0.19450028631547,-7.395902669920864e-05,0.0,0.0,9.51187761566791,9.627717297630639,0.002,0.0
324,cycle_lane_one,100,0.2079057685420566,-7.395902669920864e-05,0.0,0.0,27.382761235310355,27.715117894359455,0.002,0.0
325,cycle_lane_one,150,0.22324377900630388,-7.395902669920864e-05,0.0,0.0,44.19062463092082,44.724270730075986,0.002,0.0
326,cycle_lane_one,200,0.21095427158799823,-7.395902669920864e-05,0.0,0.0,53.841844043513625,54.48808254928651,0.002,0.0
327,cycle_lane_one,300,0.18757262957809562,-7.395902669920864e-05,0.0,0.0,67.4323399501832,68.22946369906141,0.002,0.0
328,cycle_lane_one,400,0.1698036781025718,-7.395902669920864e-05,0.0,0.0,77.0741313315825,77.96848665814267,0.002,0.0
329,cycle_lane_right,10,0.0020749962946494736,-7.395902669920864e-05,1.981968490714355,1.9819497169294884,0.01129981321872015,0.011311578695612745,0.2,0.9798881978542494
330,cycle_lane_right,50,0.514415845296202,-7.395902669920864e-05,0.0,0.0,25.151139836736466,25.17716411033399,0.002,0.0
331,cycle_lane_right,100,0.2643567346882632,-7.395902669920864e-05,0.0,0.0,34.815136234326275,34.849736630802255,0.002,0.0
332,cycle_lane_right,150,0.19782584681571252,-7.395902669920864e-05,0.0,0.0,39.16086608947158,39.19744312210972,0.002,0.0
333,cycle_lane_right,200,0.16993697737207045,-7.395902669920864e-05,0.0,0.0,43.3766719107237,43.4141018637713,0.002,0.0
334,cycle_lane_right,300,0.12896217052446177,-7.395902669920864e-05,0.0,0.0,46.37019099811885,46.40206516020148,0.002,0.0
335,cycle_lane_right,400,0.10545227090903035,-7.395902669920864e-05,0.0,0.0,47.877652658919445,47.90050296527022,0.002,0.0
336,cycle_way_both,10,0.015775240384615384,-7.395902669920864e-05,1.8671630891767617,1.8660883731601992,0.08333956096476947,0.08401540131944578,0.902,0.9611794229092794
337,cycle_way_both,50,0.33429719415091086,-7.395902669920864e-05,0.0,0.0,16.345932534093095,16.478379182943808,0.002,0.0
338,cycle_way_both,100,0.21860132444499483,-7.395902669920864e-05,0.0,0.0,28.790945854997627,29.023052134304372,0.002,0.0
339,cycle_way_both,150,0.2288551681980446,-7.395902669920864e-05,0.0,0.0,45.30101915494907,45.66346989935236,0.002,0.0
340,cycle_way_both,200,0.1942362600614624,-7.395902669920864e-05,0.0,0.0,49.576402558706356,49.96946102118754,0.002,0.0
341,cycle_way_both,300,0.1671692871556113,-7.395902669920864e-05,0.0,0.0,60.10023158315798,60.56595284556447,0.002,0.0
342,cycle_way_both,400,0.14031620887023502,-7.395902669920864e-05,0.0,0.0,63.69555417066014,64.17546497920816,0.002,0.0
343,cycle_way_one,10,0.00490487514863258,-7.395902669920864e-05,1.958227353656743,1.9581240512269535,0.026180114434822745,0.02624487187610059,0.46,0.6106505245798322
344,cycle_way_one,50,0.12234295422936992,-7.395902669920864e-05,4.343151172037096e-09,3.966155848189601e-09,5.984423554781768,5.99918706564051,0.016,9.180396309815819e-08
345,cycle_way_one,100,0.16049658564230992,-7.395902669920864e-05,0.0,0.0,21.140833952874843,21.192123576022915,0.002,0.0
346,cycle_way_one,150,0.17788277012722262,-7.395902669920864e-05,0.0,0.0,35.21448447335257,35.297804528892364,0.002,0.0
347,cycle_way_one,200,0.16360905567825915,-7.395902669920864e-05,0.0,0.0,41.762162932634276,41.857992845912776,0.002,0.0
348,cycle_way_one,300,0.1249863550241649,-7.395902669920864e-05,0.0,0.0,44.941449104175476,45.036652372191405,0.002,0.0
349,cycle_way_one,400,0.10113866841929517,-7.395902669920864e-05,0.0,0.0,45.920554771143344,46.008141609092704,0.002,0.0
350,cycle_way_right,10,0.0006660253089617404,-7.395902669920864e-05,1.9937908040384689,1.9937887342597542,0.003891046358516033,0.0038923434098003676,0.07,0.8554489862111414
351,cycle_way_right,50,5.734767799521884e-05,-7.395902669920864e-05,1.9897568183101417,1.9897534701313178,0.006419006292295544,0.006421104495463301,0.32,0.9814629026006099
352,cycle_way_right,100,0.04051685913546718,-7.395902669920864e-05,1.816180050795424e-07,1.8009192892520787e-07,5.34421645356303,5.345744882150752,0.01,0.0
353,cycle_way_right,150,0.21165643385574257,-7.395902669920864e-05,0.0,0.0,41.89769427739153,41.907175182311505,0.002,0.0
354,cycle_way_right,200,0.16450017167057654,-7.395902669920864e-05,0.0,0.0,41.98952269461151,41.996044507086644,0.002,0.0
355,cycle_way_right,300,0.11762231527176328,-7.395902669920864e-05,0.0,0.0,42.295121048425685,42.29428239526764,0.002,0.0
356,cycle_way_right,400,0.09586581744396556,-7.395902669920864e-05,0.0,0.0,43.52824218996963,43.51825242351406,0.002,0.0
357,side_walk_both,10,0.061839438299253154,-7.395902669920864e-05,1.4895174256662624,1.3623052722870947,0.3255581065690072,0.4108907626259498,0.684,0.7330219612795856
358,side_walk_both,50,0.33776933929937075,-7.395902669920864e-05,0.0,0.0,16.515670413111494,20.844308593624735,0.002,0.0
359,side_walk_both,100,0.5405796213714067,-7.395902669920864e-05,0.0,0.0,71.18284111687169,89.83651282246949,0.002,0.0
360,side_walk_both,150,0.5346687909727927,-7.395902669920864e-05,0.0,0.0,105.81611809018783,133.5342228690494,0.002,0.0
361,side_walk_both,200,0.5127756198138469,-7.395902669920864e-05,0.0,0.0,130.8486876911301,165.10552530320192,0.002,0.0
362,side_walk_both,300,0.48143981877954106,-7.395902669920864e-05,0.0,0.0,173.03592352596436,218.2767543322932,0.002,0.0
363,side_walk_both,400,0.45740432315227725,-7.395902669920864e-05,0.0,0.0,207.5596399729633,261.7391486693145,0.002,0.0
364,side_walk_left,10,0.009255112703388569,-7.395902669920864e-05,1.921751104470534,1.9213833770078175,0.049054890535311306,0.04928560828586373,0.808,0.9096673967215747
365,side_walk_left,50,0.11721900150234614,-7.395902669920864e-05,1.9625264968681222e-08,1.6736665831018627e-08,5.733936080644536,5.760866260280378,0.004,3.212028421017976e-10
