,column,knn,I,EI,p_norm,p_rand,z_norm,z_rand,p_sim,p_z_sim
634,art,5,0.3900226070035627,-7.395902669920864e-05,0.0,0.0,75.24020046037427,75.67948871698107,0.002,0.0
635,art,6,0.37874120595350225,-7.395902669920864e-05,0.0,0.0,79.58569458997421,80.04881803244815,0.002,0.0
636,art,7,0.37200445148692446,-7.395902669920864e-05,0.0,0.0,84.40887975030125,84.89834894712538,0.002,0.0
637,art,8,0.356984204305521,-7.395902669920864e-05,0.0,0.0,86.53472400134498,87.03476916019733,0.002,0.0
638,art,9,0.3373333385258692,-7.395902669920864e-05,0.0,0.0,86.71184368962759,87.21114801694404,0.002,0.0
639,art,10,0.31952061858681247,-7.395902669920864e-05,0.0,0.0,86.544052847878,87.0406370712177,0.002,0.0
640,outdoors and recreation,1,0.4932436100597682,-7.395902669920864e-05,0.0,0.0,46.693228602334266,47.18924677010468,0.002,0.0
641,outdoors and recreation,2,0.45331147455000026,-7.395902669920864e-05,0.0,0.0,57.9082857971937,58.522244059511706,0.002,0.0
642,outdoors and recreation,3,0.43176382157065296,-7.395902669920864e-05,0.0,0.0,66.09345639491771,66.79287262340557,0.002,0.0
643,outdoors and recreation,4,0.41727563847447147,-7.395902669920864e-05,0.0,0.0,72.62558455293703,73.39272259028691,0.002,0.0
644,outdoors and recreation,5,0.40448247733511583,-7.395902669920864e-05,0.0,0.0,78.02916000813065,78.85185318398896,0.002,0.0
645,outdoors and recreation,6,0.3925817771542064,-7.395902669920864e-05,0.0,0.0,82.49347541386916,83.36162349474355,0.002,0.0
646,outdoors and recreation,7,0.3814359657360277,-7.395902669920864e-05,0.0,0.0,86.54849207292125,87.457524205892,0.002,0.0
647,outdoors and recreation,8,0.369153599054904,-7.395902669920864e-05,0.0,0.0,89.48403401311876,90.42206136678861,0.002,0.0
648,outdoors and recreation,9,0.3602993895813868,-7.395902669920864e-05,0.0,0.0,92.61399412839745,93.58291996119253,0.002,0.0
649,outdoors and recreation,10,0.34903800169579297,-7.395902669920864e-05,0.0,0.0,94.53716081231886,95.5242632999842,0.002,0.0
650,retail shop,1,0.5561291693817652,-7.395902669920864e-05,0.0,0.0,52.64543866175946,52.87812192787985,0.002,0.0
651,retail shop,2,0.5454631948708168,-7.395902669920864e-05,0.0,0.0,69.67828933467645,69.98483755361225,0.002,0.0
652,retail shop,3,0.5280777307946796,-7.395902669920864e-05,0.0,0.0,80.83445277257762,81.18849127935445,0.002,0.0
653,retail shop,4,0.5294134792141465,-7.395902669920864e-05,0.0,0.0,92.13938373468946,92.54118662703598,0.002,0.0
654,retail shop,5,0.5118556262200803,-7.395902669920864e-05,0.0,0.0,98.73884563386778,99.16753551654938,0.002,0.0
655,retail shop,6,0.49785857236708064,-7.395902669920864e-05,0.0,0.0,104.61119309199054,105.06336872921987,0.002,0.0
656,retail shop,7,0.4834066291027789,-7.395902669920864e-05,0.0,0.0,109.68132971942961,110.15319434125307,0.002,0.0
657,retail shop,8,0.467517295655813,-7.395902669920864e-05,0.0,0.0,113.32293817840997,113.80818647875311,0.002,0.0
658,retail shop,9,0.45107600763629613,-7.395902669920864e-05,0.0,0.0,115.9430921430127,116.43721163876624,0.002,0.0
659,retail shop,10,0.43634447812321786,-7.395902669920864e-05,0.0,0.0,118.17916489861608,118.68042979194755,0.002,0.0
660,professional service,1,0.5968119837718544,-7.395902669920864e-05,0.0,0.0,56.49612647735966,56.93268621696262,0.002,0.0
661,professional service,2,0.5860371054442689,-7.395902669920864e-05,0.0,0.0,74.86055906677133,75.43748995657447,0.002,0.0
662,professional service,3,0.6033636916960801,-7.395902669920864e-05,0.0,0.0,92.35708834907378,93.06702598798474,0.002,0.0
663,professional service,4,0.6298562204383701,-7.395902669920864e-05,0.0,0.0,109.61804632160656,110.45856675974362,0.002,0.0
664,professional service,5,0.6349145562832317,-7.395902669920864e-05,0.0,0.0,122.47393938414812,123.41066566300405,0.002,0.0
665,professional service,6,0.629494636803913,-7.395902669920864e-05,0.0,0.0,132.26675862840048,133.2758178364233,0.002,0.0
666,professional service,7,0.6190915688302702,-7.395902669920864e-05,0.0,0.0,140.46251303392168,141.53121733224563,0.002,0.0
667,professional service,8,0.6133556024461253,-7.395902669920864e-05,0.0,0.0,148.6675372463802,149.79564366119524,0.002,0.0
668,professional service,9,0.5977620350885818,-7.395902669920864e-05,0.0,0.0,153.64060484104,154.80330397270012,0.002,0.0
669,professional service,10,0.5883589566814789,-7.395902669920864e-05,0.0,0.0,159.3436588779174,160.5462696295964,0.002,0.0
670,food,1,0.45818088759382664,-7.395902669920864e-05,0.0,0.0,43.374490697754496,43.55732347806084,0.002,0.0
671,food,2,0.462439321389842,-7.395902669920864e-05,0.0,0.0,59.07413261177855,59.3219418986374,0.002,0.0
672,food,3,0.46263120093564325,-7.395902669920864e-05,0.0,0.0,70.81775770376406,71.1134370798852,0.002,0.0
673,food,4,0.471657505915567,-7.395902669920864e-05,0.0,0.0,82.08890963013161,82.43009123725467,0.002,0.0
674,food,5,0.45941128538050197,-7.395902669920864e-05,0.0,0.0,88.62359966301257,88.99024383513361,0.002,0.0
675,food,6,0.44726691370724136,-7.395902669920864e-05,0.0,0.0,93.98233588899913,94.36934501992197,0.002,0.0
676,food,7,0.43751145988067053,-7.395902669920864e-05,0.0,0.0,99.26965381853284,99.6764217775148,0.002,0.0
677,food,8,0.4280834860241906,-7.395902669920864e-05,0.0,0.0,103.76596908142001,104.18907198002067,0.002,0.0
678,food,9,0.41104764480517886,-7.395902669920864e-05,0.0,0.0,105.65602020906094,106.08469114325423,0.002,0.0
679,food,10,0.3984423367351711,-7.395902669920864e-05,0.0,0.0,107.9155210288454,108.35118353167042,0.002,0.0
680,nightlife spot,1,0.3580621178475232,-7.395902669920864e-05,0.0,0.0,33.898102877621504,33.99104265638128,0.002,0.0
681,nightlife spot,2,0.37154887861074426,-7.395902669920864e-05,0.0,0.0,47.46522472260378,47.59440077324369,0.002,0.0
682,nightlife spot,3,0.37717021520736393,-7.395902669920864e-05,0.0,0.0,57.737818459251024,57.89382007856816,0.002,0.0
683,nightlife spot,4,0.399866913508991,-7.395902669920864e-05,0.0,0.0,69.59618465771901,69.7829115511257,0.002,0.0
684,nightlife spot,5,0.39174624462550484,-7.395902669920864e-05,0.0,0.0,75.57264850398485,75.77396920930705,0.002,0.0
685,nightlife spot,6,0.3760626821331598,-7.395902669920864e-05,0.0,0.0,79.02296057501236,79.23196189377005,0.002,0.0
686,nightlife spot,7,0.35277475857371177,-7.395902669920864e-05,0.0,0.0,80.04647443227714,80.25656623655193,0.002,0.0
687,nightlife spot,8,0.34647526441414656,-7.395902669920864e-05,0.0,0.0,83.9878330282889,84.20658604849241,0.002,0.0
688,nightlife spot,9,0.3320925119831849,-7.395902669920864e-05,0.0,0.0,85.36497972056097,85.58559954799556,0.002,0.0
689,nightlife spot,10,0.3268343916614055,-7.395902669920864e-05,0.0,0.0,88.52457319403486,88.7515819755011,0.002,0.0
690,residence,1,0.6311923165527348,-7.395902669920864e-05,0.0,0.0,59.75027520134439,59.80427333483047,0.002,0.0
691,residence,2,0.5624795724827155,-7.395902669920864e-05,0.0,0.0,71.85169232693667,71.9151785818505,0.002,0.0
692,residence,3,0.4906233147295024,-7.395902669920864e-05,0.0,0.0,75.10199506223881,75.16688929056554,0.002,0.0
693,residence,4,0.4514019679056695,-7.395902669920864e-05,0.0,0.0,78.5641181909859,78.63052740631001,0.002,0.0
694,residence,5,0.4464495203218583,-7.395902669920864e-05,0.0,0.0,86.12358841898391,86.19475408240994,0.002,0.0
695,residence,6,0.4266449559148335,-7.395902669920864e-05,0.0,0.0,89.6498460986295,89.72222091081069,0.002,0.0
696,residence,7,0.4167155551009116,-7.395902669920864e-05,0.0,0.0,94.55194116374523,94.6263747206838,0.002,0.0
697,residence,8,0.39898104914351523,-7.395902669920864e-05,0.0,0.0,96.71285672646562,96.78706390563808,0.002,0.0
698,residence,9,0.3827288398095347,-7.395902669920864e-05,0.0,0.0,98.37824106773469,98.4517549685401,0.002,0.0
699,residence,10,0.37019404428351327,-7.395902669920864e-05,0.0,0.0,100.26607424206354,100.3389976484109,0.002,0.0
700,schools&university,1,0.5326199930400777,-7.395902669920864e-05,0.0,0.0,50.420260776431405,50.58534673501205,0.002,0.0
701,schools&university,2,0.5657115448064048,-7.395902669920864e-05,0.0,0.0,72.2644933636448,72.49963622170586,0.002,0.0
702,schools&university,3,0.5957999571620585,-7.395902669920864e-05,0.0,0.0,91.19944679692527,91.49441310336833,0.002,0.0
703,schools&university,4,0.6238543293341533,-7.395902669920864e-05,0.0,0.0,108.57362013196445,108.92272547687149,0.002,0.0
704,schools&university,5,0.6215600217095385,-7.395902669920864e-05,0.0,0.0,119.89817239238812,120.28140061567615,0.002,0.0
705,schools&university,6,0.6188784189899301,-7.395902669920864e-05,0.0,0.0,130.03638575331127,130.44952854137722,0.002,0.0
706,schools&university,7,0.6027633761140021,-7.395902669920864e-05,0.0,0.0,136.75833559018162,137.19006859551246,0.002,0.0
707,schools&university,8,0.5880898964563384,-7.395902669920864e-05,0.0,0.0,142.5442746548705,142.9914116408889,0.002,0.0
708,schools&university,9,0.5651721873390599,-7.395902669920864e-05,0.0,0.0,145.26519089942238,145.71793108665452,0.002,0.0
709,schools&university,10,0.5433590434900798,-7.395902669920864e-05,0.0,0.0,147.15798634721514,147.61366726782092,0.002,0.0
710,cycling facilities,1,0.8323664078119064,-7.395902669920864e-05,0.0,0.0,78.79169683452545,81.52381625230116,0.002,0.0
711,cycling facilities,2,0.8198261647107165,-7.395902669920864e-05,0.0,0.0,104.72107653742847,108.3500041755485,0.002,0.0
712,cycling facilities,3,0.8182867430912288,-7.395902669920864e-05,0.0,0.0,125.25140182483877,129.58909533246265,0.002,0.0
713,cycling facilities,4,0.8188887119720898,-7.395902669920864e-05,0.0,0.0,142.51275924174064,147.44530460800343,0.002,0.0
714,cycling facilities,5,0.8136754205933893,-7.395902669920864e-05,0.0,0.0,156.95259015012957,162.38163567617914,0.002,0.0
715,cycling facilities,6,0.8083217853958715,-7.395902669920864e-05,0.0,0.0,169.83675093052855,175.70790072012923,0.002,0.0
716,cycling facilities,7,0.8042702240988628,-7.395902669920864e-05,0.0,0.0,182.47173045482012,188.7756069886907,0.002,0.0
717,cycling facilities,8,0.7944109122772265,-7.395902669920864e-05,0.0,0.0,192.54714251571735,199.19484617880175,0.002,0.0
718,cycling facilities,9,0.7871781116783587,-7.395902669920864e-05,0.0,0.0,202.31950818632487,209.3001136186947,0.002,0.0
719,cycling facilities,10,0.7800783951197664,-7.395902669920864e-05,0.0,0.0,211.25998779709482,218.54439858872735,0.002,0.0
720,transportation,1,0.5506606386388849,-7.395902669920864e-05,0.0,0.0,52.12783423796193,52.36385248861254,0.002,0.0
721,transportation,2,0.5210324478807159,-7.395902669920864e-05,0.0,0.0,66.55789204316893,66.85789094693247,0.002,0.0
722,transportation,3,0.5126696843057231,-7.395902669920864e-05,0.0,0.0,78.47622684954695,78.8284006440566,0.002,0.0
723,transportation,4,0.5059728406789822,-7.395902669920864e-05,0.0,0.0,88.06033325493996,88.45384515914446,0.002,0.0
724,transportation,5,0.49510804718603696,-7.395902669920864e-05,0.0,0.0,95.50864236248184,95.9336075203165,0.002,0.0
725,transportation,6,0.4851419190766663,-7.395902669920864e-05,0.0,0.0,101.93953741782977,102.39115756950946,0.002,0.0
726,transportation,7,0.4743115607013907,-7.395902669920864e-05,0.0,0.0,107.61804275270185,108.09263502690922,0.002,0.0
727,transportation,8,0.4582528204732952,-7.395902669920864e-05,0.0,0.0,111.0776490763357,111.5652595665167,0.002,0.0
728,transportation,9,0.4462691440415548,-7.395902669920864e-05,0.0,0.0,114.70775429558624,115.2089762409065,0.002,0.0
729,transportation,10,0.43251868735442073,-7.395902669920864e-05,0.0,0.0,117.143166600547,117.65266617313463,0.002,0.0
730,crash_evt_COLLISION_WITH_FIXED,1,0.15502742361698246,-7.395902669920864e-05,0.0,0.0,14.680572455042967,14.7344073178847,0.002,0.0
