,STREETTYPE_CRES_neighbor,crime_mtd_GUN_neighbor,crime_mtd_OTHERS_neighbor,crime_ofn_ASSAULT W/DANGEROUS WEAPON_neighbor,crime_ofn_BURGLARY_neighbor,crime_ofn_ROBBERY_neighbor,crime_ofn_THEFT F/AUTO_neighbor
11195,0.0,1.6,14.0,1.2,2.0,0.6,4.8
11196,0.0,6.4,55.5,9.3,10.4,6.1,13.3
11197,0.0,5.5,55.875,8.375,8.625,6.875,10.375
11198,0.0,6.7142857142857135,47.14285714285714,10.714285714285714,5.142857142857143,5.285714285714286,8.142857142857142
11199,0.0,10.5,58.0,15.5,6.0,6.0,16.5
11200,0.0,2.8571428571428568,98.71428571428572,2.571428571428572,5.7142857142857135,3.7142857142857135,44.14285714285715
11201,0.0,3.25,99.25,1.75,7.25,5.0,50.25
11202,0.0,2.25,112.5,0.625,8.5,5.0,51.125
11203,0.0,2.4285714285714284,152.57142857142858,0.7142857142857143,11.285714285714285,7.2857142857142865,52.28571428571429
11204,0.0,2.5,135.83333333333334,1.6666666666666667,9.666666666666666,10.333333333333334,45.33333333333334
11205,0.0,2.4,115.86666666666666,1.7333333333333334,7.533333333333332,9.2,46.73333333333333
11206,0.0,2.0,108.2,1.8,6.6,8.2,46.8
11207,0.0,4.857142857142857,111.42857142857143,4.142857142857143,8.714285714285714,10.428571428571429,34.142857142857146
11208,0.0,5.636363636363638,127.1818181818182,7.545454545454546,9.545454545454543,12.909090909090908,29.818181818181817
11209,0.0,8.444444444444445,31.0,2.1111111111111107,3.0,9.5,7.111111111111112
11210,0.0,9.0,33.8,2.0,4.4,10.2,8.066666666666666
11211,0.0,8.75,33.333333333333336,1.8333333333333333,4.916666666666667,9.916666666666666,8.25
11212,0.0,2.0769230769230766,26.76923076923077,3.615384615384616,1.1538461538461535,2.1538461538461537,12.153846153846152
11213,0.0,2.0,26.91666666666667,3.0,1.8333333333333333,2.333333333333333,13.666666666666664
11214,0.0,2.1111111111111107,24.66666666666667,2.4444444444444446,2.1111111111111107,2.1111111111111107,12.777777777777779
11215,0.0,1.8888888888888888,20.88888888888889,1.5555555555555556,2.333333333333333,1.7777777777777777,10.111111111111109
11216,0.0,2.0,18.428571428571427,1.0,2.2857142857142856,1.8571428571428568,8.857142857142858
11217,0.0,1.6666666666666667,16.0,0.5,2.0,1.6666666666666667,7.0
11218,0.0,1.0,14.285714285714285,0.7142857142857143,2.0,1.0,5.7142857142857135
11219,0.0,0.75,15.5,1.25,2.25,1.0,6.0
11220,0.0,1.75,25.75,1.0,1.25,5.25,5.25
11221,0.0,7.4,93.8,1.8,2.4,11.8,13.0
11222,0.0,8.833333333333334,107.66666666666669,2.0,2.333333333333333,14.333333333333336,15.333333333333336
11223,0.0,10.2,130.0,3.0,2.8,12.8,19.0
11224,0.0,5.571428571428571,77.0,2.7142857142857144,2.0,6.428571428571429,12.285714285714285
11225,0.0,3.0,47.33333333333334,2.333333333333333,2.0,3.0,9.5
11226,0.0,0.5714285714285714,12.0,1.2857142857142858,2.8571428571428568,0.2857142857142857,4.142857142857143
11227,0.0,19.125,96.875,19.5,14.5,24.5,15.375
11228,0.0,20.666666666666668,94.0,20.33333333333333,28.0,18.0,13.666666666666664
11229,0.0,7.0,45.0,6.75,10.5,5.0,7.25
11230,0.0,8.5,58.16666666666666,7.0,8.333333333333334,12.833333333333336,14.333333333333336
11231,0.0,6.625,56.0,4.875,8.0,12.875,14.25
11232,0.0,6.7142857142857135,53.28571428571429,5.0,7.428571428571429,13.285714285714285,13.0
11233,0.0,16.714285714285715,113.0,27.857142857142854,15.857142857142858,14.714285714285715,29.142857142857146
11234,0.0,17.75,124.125,27.125,18.25,14.125,32.125
11235,0.0,21.0,158.83333333333334,28.66666666666667,24.66666666666667,15.5,45.83333333333334
11236,0.0,9.857142857142858,110.0,14.0,16.571428571428573,10.0,34.42857142857143
11237,0.0,5.142857142857143,77.85714285714286,10.285714285714286,11.0,6.857142857142858,21.142857142857142
11238,0.13333333333333333,0.5333333333333333,21.8,1.2,0.8,0.9333333333333332,11.133333333333333
11239,0.09090909090909093,0.0,3.4545454545454546,0.18181818181818185,0.09090909090909093,0.0,1.4545454545454546
11240,0.0,6.142857142857142,68.85714285714286,9.142857142857142,3.571428571428572,11.142857142857142,25.714285714285715
11241,0.0,7.166666666666668,70.33333333333333,10.166666666666666,4.5,12.0,26.83333333333333
11242,0.0,1.0,9.0,0.0,1.3333333333333333,0.3333333333333333,4.333333333333333
11243,0.0,10.666666666666666,78.33333333333333,15.0,14.0,7.333333333333332,20.33333333333333
11244,0.0,17.833333333333332,92.0,23.83333333333333,11.833333333333336,14.333333333333336,24.33333333333333
11245,0.0,9.5,77.7,13.4,12.7,8.8,14.7
11246,0.0,13.666666666666664,102.16666666666669,18.83333333333333,19.5,12.0,16.0
11247,0.0,16.25,114.25,25.75,31.5,13.25,12.75
11248,0.0,6.9,78.6,13.7,12.9,6.4,19.7
11249,0.0,6.1818181818181825,82.54545454545455,13.909090909090908,12.909090909090908,5.8181818181818175,21.454545454545453
11250,0.0,5.416666666666668,74.16666666666667,12.666666666666664,10.166666666666666,5.75,20.666666666666668
11251,0.0,4.222222222222221,59.77777777777778,10.777777777777779,6.666666666666668,4.222222222222221,16.333333333333332
11252,0.0,12.6875,95.0,15.625,13.0625,10.75,34.125
11253,0.0,11.428571428571427,92.57142857142857,14.428571428571427,11.0,9.785714285714286,33.642857142857146
11254,0.0,7.4444444444444455,76.44444444444444,11.444444444444445,8.222222222222221,6.5555555555555545,25.66666666666667
11255,0.0,6.1,68.7,11.7,9.9,5.5,19.3
11256,0.0,5.090909090909091,75.0909090909091,10.818181818181818,11.636363636363635,4.909090909090909,19.727272727272727
11257,0.0,8.5,163.875,11.875,13.25,16.25,29.25
11258,0.0,13.75,166.625,12.875,12.375,21.75,32.75
11259,0.0,18.714285714285715,155.42857142857142,13.0,10.285714285714286,27.285714285714285,35.0
11260,0.0,17.333333333333332,98.16666666666669,9.0,5.333333333333333,27.5,23.66666666666667
11261,0.0,26.75,166.25,28.5,44.0,24.75,23.75
11262,0.0,27.8,145.0,27.8,42.4,29.4,22.6
11263,0.0,24.2,110.8,22.6,4.2,27.4,16.6
11264,0.0,22.8,89.0,19.2,10.8,26.0,16.8
11265,0.0,12.285714285714285,88.2857142857143,11.142857142857142,8.857142857142858,17.285714285714285,25.42857142857143
11266,0.0,11.5,97.5,14.375,9.375,15.0,30.5
11267,0.0,13.888888888888891,99.88888888888887,17.666666666666668,15.0,16.0,26.11111111111111
11268,0.0,5.5,49.16666666666666,7.166666666666668,10.833333333333336,5.333333333333333,12.5
11269,0.0,4.222222222222221,24.66666666666667,3.555555555555556,2.4444444444444446,2.555555555555556,6.0
11270,0.0,3.6666666666666665,26.0,3.0,2.7777777777777777,2.4444444444444446,7.111111111111112
11271,0.0,0.75,9.25,1.0,3.0,0.5,3.25
11272,0.0,0.75,30.75,2.25,5.25,1.0,9.25
11273,0.0,1.1666666666666667,29.5,1.8333333333333333,2.5,2.833333333333333,9.333333333333334
11274,0.0,2.4444444444444446,28.444444444444446,1.7777777777777777,3.4444444444444446,4.0,9.555555555555557
11275,0.0,3.0,27.375,1.75,3.25,4.375,11.125
11276,0.0,3.1428571428571432,30.857142857142854,1.2857142857142858,3.571428571428572,4.428571428571429,13.142857142857142
11277,0.0,3.5,33.333333333333336,1.3333333333333333,4.166666666666667,3.6666666666666665,14.833333333333336
11278,0.0,2.142857142857143,32.0,1.2857142857142858,3.8571428571428568,1.8571428571428568,14.857142857142858
11279,0.0,1.1111111111111112,18.666666666666668,0.5555555555555556,2.0,1.3333333333333333,10.0
11280,0.0,0.8,11.2,0.6,1.6,1.2,5.6
11281,0.0,0.8,12.6,0.6,2.0,1.2,6.4
11282,0.0,19.83333333333333,115.5,23.16666666666667,12.166666666666664,20.33333333333333,28.33333333333333
11283,0.0,15.857142857142858,88.57142857142857,21.0,17.571428571428573,13.428571428571427,12.714285714285715
11284,0.0,17.666666666666668,109.0,16.0,13.0,14.333333333333336,36.66666666666666
11285,0.0,22.538461538461537,77.23076923076924,17.53846153846154,11.153846153846152,19.46153846153846,13.923076923076925
11286,0.0,16.333333333333332,69.66666666666667,13.333333333333336,11.666666666666664,15.0,19.33333333333333
11287,0.0,2.636363636363636,74.18181818181819,1.0,8.727272727272727,6.545454545454546,21.63636363636364
11288,0.0,3.2,84.8,1.6,9.5,7.3,26.1
11289,0.0,5.625,123.0,3.625,12.25,10.0,41.625
11290,0.0,6.0,117.5,5.2,10.7,10.0,36.9
11291,0.0,6.6,120.5,5.8,10.8,10.4,37.9
11292,0.0,8.0,143.85714285714286,5.857142857142858,7.857142857142858,13.857142857142858,48.57142857142857
11293,0.0,12.166666666666664,232.83333333333331,8.333333333333334,6.333333333333332,21.166666666666668,86.33333333333331
11294,0.0,17.833333333333332,330.6666666666667,13.5,7.333333333333332,26.66666666666667,139.33333333333334
11295,0.0,22.444444444444446,338.77777777777777,20.88888888888889,17.555555555555557,24.777777777777782,122.88888888888887
11296,0.0,23.181818181818183,300.6363636363636,20.545454545454547,20.545454545454547,24.72727272727273,98.27272727272728
11297,0.0,24.11111111111111,264.8888888888889,21.11111111111111,21.555555555555557,24.222222222222218,84.1111111111111
11298,0.0,21.875,250.25,19.5,20.5,23.125,77.125
11299,0.0,15.222222222222221,96.33333333333331,10.222222222222221,10.444444444444443,21.777777777777782,9.333333333333334
11300,0.0,17.083333333333332,111.41666666666669,12.416666666666664,11.5,24.5,10.416666666666666
11301,0.0,19.63636363636364,127.72727272727272,14.0,12.181818181818182,28.272727272727273,12.0
11302,0.0,23.555555555555557,169.44444444444446,18.222222222222218,12.333333333333336,34.77777777777778,15.111111111111109
11303,0.0,20.33333333333333,154.16666666666666,14.833333333333336,11.666666666666664,28.83333333333333,22.33333333333333
11304,0.0,4.166666666666667,63.25,9.583333333333334,8.833333333333334,4.5,17.5
11305,0.0,3.0,48.77777777777778,7.333333333333332,6.0,3.111111111111111,13.555555555555555
11306,0.0,17.6,132.4,12.4,13.2,17.2,21.6
11307,0.0,11.166666666666664,99.16666666666669,11.666666666666664,15.166666666666664,9.833333333333334,20.166666666666668
11308,0.0,4.3,37.8,5.9,1.8,4.8,16.5
11309,0.0,5.3,40.7,6.3,3.0,6.0,17.3
11310,0.0,11.454545454545455,84.18181818181819,15.181818181818182,15.090909090909092,10.818181818181818,31.363636363636363
11311,0.0,10.538461538461537,83.53846153846153,14.846153846153848,13.307692307692307,9.153846153846152,33.230769230769226
11312,0.0,9.384615384615383,78.30769230769229,13.230769230769232,10.846153846153848,7.538461538461537,32.384615384615394
11313,0.0,8.818181818181818,76.18181818181819,12.545454545454545,9.545454545454543,6.636363636363638,32.72727272727273
11314,0.0,6.571428571428571,67.42857142857143,9.714285714285714,7.142857142857142,4.428571428571429,27.857142857142854
11315,0.0,5.0,60.28571428571429,8.571428571428571,9.0,3.2857142857142856,17.857142857142858
11316,0.0,4.142857142857143,58.57142857142857,6.2857142857142865,9.428571428571429,3.4285714285714284,15.571428571428573
11317,0.0,4.333333333333333,63.0,6.888888888888888,10.888888888888891,3.6666666666666665,16.444444444444443
11318,0.0,3.75,62.75,7.0,10.375,3.5,16.625
11319,0.0,2.1,45.0,4.2,5.5,3.3,11.7
11320,0.0,1.8571428571428568,37.714285714285715,4.857142857142857,4.714285714285714,2.142857142857143,10.285714285714286
11321,0.0,3.5,27.875,3.0,3.875,2.75,7.375
11322,0.0,3.5,36.5,3.1666666666666665,6.333333333333332,3.333333333333333,10.333333333333334
11323,0.0,25.5,72.0,33.5,13.0,10.0,11.0
11324,0.0,15.0,36.0,23.0,9.0,5.0,2.0
11325,0.0,23.0,93.5,25.5,8.0,22.5,26.5
11326,0.0,11.5,134.0,5.333333333333333,4.666666666666667,15.0,15.0
11327,0.0,28.705882352941174,114.35294117647058,21.0,12.235294117647056,27.058823529411764,16.352941176470587
11328,0.0,29.5,130.42857142857142,22.57142857142857,11.714285714285715,30.142857142857146,15.642857142857142
11329,0.0,28.90909090909091,140.45454545454547,22.09090909090909,10.909090909090908,31.90909090909091,15.818181818181818
11330,0.0,19.33333333333333,132.16666666666666,19.83333333333333,9.0,32.0,18.5
11331,0.0,16.333333333333332,107.33333333333331,19.0,8.0,27.444444444444446,20.0
11332,0.0,13.333333333333336,76.1111111111111,15.444444444444445,6.222222222222222,22.444444444444446,18.444444444444443
