column,,column,db_nb,I,p_norm,p_rand,z_norm,z_rand,ftr_type
311_SIGN REMOVAL,947,311_SIGN REMOVAL,100,0.2946287387875525,0.0,0.0,38.800770171129756,39.359389859508184,311
crash_1stharm_Hit and Run,540,crash_1stharm_Hit and Run,50,0.29447587535496916,0.0,0.0,14.399243699630974,14.463507122589968,crash
Existing Bike Lane,428,Existing Bike Lane,50,0.28751535301704506,0.0,0.0,14.058974428623257,14.586524468437387,bk_opendc
d_far_cntr_SgAsNd,170,d_far_cntr_SgAsNd,100,0.2839617637526694,0.0,0.0,37.39634852918555,37.40571965052529,net_SaN
311_CURB GUTTER REPAIR,660,311_CURB GUTTER REPAIR,100,0.28358434640456676,0.0,0.0,37.3466574883809,37.719478493773494,311
crash_1stharm_null,582,crash_1stharm_null,50,0.2762933807830452,0.0,0.0,13.510381646939749,13.625623138322677,crash
FAILURE TO DISPLAY CURRENT TAGS,1410,FAILURE TO DISPLAY CURRENT TAGS,150,0.2752151410586318,0.0,0.0,54.47483658936676,54.85908585628226,parking
311_UTILITY REPAIR,1080,311_UTILITY REPAIR,100,0.2751269561620124,0.0,0.0,36.233151377026125,37.1653277318993,311
FAIL TO REPORT FOR INSPECTION.,1403,FAIL TO REPORT FOR INSPECTION.,150,0.27340839422867846,0.0,0.0,54.117313395424254,54.38840387012448,parking
v0rq_Other Biking Issue,1184,v0rq_Other Biking Issue,50,0.26954217378979445,0.0,0.0,13.180344880948883,13.304299792815675,v0
311_MARKING REMOVAL,737,311_MARKING REMOVAL,100,0.26857872817477485,0.0,0.0,35.37100694792726,35.434575244583655,311
"crash_1stharm_Other Fixed Object (Wall, Building, Tunnel, Etc.)",554,"crash_1stharm_Other Fixed Object (Wall, Building, Tunnel, Etc.)",50,0.26033417047273427,0.0,0.0,12.730206166636941,12.785622720454663,crash
311_ALLEY REPAIR,590,311_ALLEY REPAIR,100,0.2592579304149158,0.0,0.0,34.143823978873414,34.49108335398123,311
STREETTYPE_RD,94,STREETTYPE_RD,150,0.2538927785059284,0.0,0.0,50.25551873262011,52.58651895297423,seg_attr
