,STREETTYPE_CRES_neighbor,ud_far_cntr_SgAsNd_neighbor,ud_node_ecc_SgAsNd_neighbor,poi_total_neighbor,crime_total_neighbor
185,0.0,33.441401374266675,60.16666666666666,24.66666666666667,76.83333333333333
186,0.0,33.58647155043749,60.0,21.875,88.5
187,0.0,33.215253270436364,59.18181818181818,21.454545454545453,254.0909090909091
188,0.0,32.53558723983,58.7,20.6,356.6
189,0.0,31.6179227887,58.66666666666666,13.166666666666664,351.33333333333326
190,0.0,30.422153000612504,61.0,11.75,160.4375
191,0.0,30.616096286668192,61.27272727272727,11.681818181818182,148.0909090909091
192,0.0,30.768000510257146,61.57142857142857,10.714285714285714,165.0
193,0.0,31.52172586256364,61.18181818181818,9.363636363636363,123.0909090909091
194,0.0,31.648781960646158,61.07692307692307,7.846153846153847,153.0
195,0.0,31.81124033052,61.4,8.2,186.1
196,0.0,31.958150709899996,62.5,7.0,197.625
197,0.0,32.3809102655125,64.0,8.6875,200.25
198,0.0,32.70712082103333,64.94444444444444,9.111111111111109,205.27777777777774
199,0.0,32.772944779231246,65.125,9.375,206.3125
200,0.0,33.5773645795625,67.125,6.0625,168.75
201,0.0,34.46823089511429,69.21428571428571,5.142857142857143,139.71428571428572
202,0.0,34.586946379891664,69.91666666666667,6.833333333333332,148.33333333333334
203,0.0,27.578960396550002,59.75,2.125,37.0
204,0.0,34.106447012385715,73.85714285714286,2.4285714285714284,46.92857142857143
205,0.0,36.390552407736365,78.72727272727273,3.9090909090909087,64.9090909090909
206,0.0,36.175533878125,78.0,3.875,71.75
207,0.0,35.839385361812504,77.25,0.5,74.625
208,0.0,35.95975401651667,77.33333333333333,1.1666666666666667,62.66666666666666
209,0.0,39.215589515454546,83.18181818181819,2.727272727272727,65.63636363636364
