column,,column,db_b,I,p_norm,p_rand,z_norm,z_rand,ftr_type
STAND OR PARK IN ALLEY,1600,STAND OR PARK IN ALLEY,200,0.2541681295631053,0.0,0.0,70.00082025040292,70.09109229499205,parking
Cycle Track,423,Cycle Track,150,0.24571278537013344,0.0,0.0,50.81070938058595,50.94202288437417,bk_opendc
bikable_no,386,bikable_no,50,0.2409392067329215,0.0,0.0,11.853644280653352,11.861042892171685,bk_osm
cycle_way_right,353,cycle_way_right,150,0.24077514538808037,0.0,0.0,49.78996682276519,49.80074610615089,bk_osm
DISOBEYING OFFICIAL SIGN,1367,DISOBEYING OFFICIAL SIGN,100,0.23961633773706922,0.0,0.0,32.047540350691904,32.08470336992643,parking
STREETTYPE_DR,59,STREETTYPE_DR,150,0.23274985077277585,0.0,0.0,48.13092327510561,48.6613611155972,seg_attr
NO FRONT TAGS.,1431,NO FRONT TAGS.,150,0.2325321710006807,0.0,0.0,48.08592303042153,48.300692276461966,parking
cycle_lane_one,325,cycle_lane_one,150,0.22822341671903534,0.0,0.0,47.195188006715114,47.7646376395192,bk_osm
STREETTYPE_OTHER,71,STREETTYPE_OTHER,50,0.22544175330305755,0.0,0.0,11.091439860680643,11.098775771307247,seg_attr
ud_art_pt_SgAsNd,211,ud_art_pt_SgAsNd,50,0.2224506935488557,0.0,0.0,10.944331887401502,10.9927563041745,net_SaN
cycle_lane_both,317,cycle_lane_both,100,0.21062983581223566,0.0,0.0,28.171930438217835,28.6646025755472,bk_osm
is_shared,311,is_shared,150,0.20708086702388742,0.0,0.0,42.82445617265693,42.901038580211605,bk_osm
d_btw_cntr_SgAsEg,291,d_btw_cntr_SgAsEg,200,0.20468141023132344,0.0,0.0,56.375574470129244,56.53791403388941,net_SaE
d_btw_cntr_SgAsNd,158,d_btw_cntr_SgAsNd,200,0.2040192509214973,0.0,0.0,56.193261246219826,56.354607679915595,net_SaN
Shared Lane,437,Shared Lane,150,0.20319325077341155,0.0,0.0,42.02078167031173,42.39201295793209,bk_opendc
311_LIGHT-LIGHT POLE,695,311_LIGHT-LIGHT POLE,100,0.19996412738254046,0.0,0.0,26.745883051717875,26.786630491690534,311
311_ROADWAY REPAIR,835,311_ROADWAY REPAIR,100,0.19828055361046001,0.0,0.0,26.52078258197591,26.61345824149041,311
STREETTYPE_BLVD,33,STREETTYPE_BLVD,300,0.19554495051312565,0.0,0.0,80.37936227282881,80.55001083314815,seg_attr
311_LIGHT-INFRASTRUCTURE,688,311_LIGHT-INFRASTRUCTURE,100,0.19449162248427504,0.0,0.0,26.014187509952286,26.016351214339636,311
FAIL TO DISPLAY CURRENT INSPECTION STICKER,1389,FAIL TO DISPLAY CURRENT INSPECTION STICKER,150,0.1943036246336845,0.0,0.0,40.183057624630635,40.38526087147341,parking
FAILURE TO SECURE DC TAGS,1417,FAILURE TO SECURE DC TAGS,150,0.18980389853606955,0.0,0.0,39.252843606786726,39.76508924212308,parking
RESIDENTIAL PMT PKG 3RD OFFENSE CALENDAR YEAR,1591,RESIDENTIAL PMT PKG 3RD OFFENSE CALENDAR YEAR,100,0.18799976025092832,0.0,0.0,25.146199862211343,25.203438292631294,parking
311_SPEED STUDY DATA MAP,975,311_SPEED STUDY DATA MAP,100,0.18715160466221234,0.0,0.0,25.032798106612415,25.06898140390661,311
cycle_way_one,346,cycle_way_one,150,0.18299865148060268,0.0,0.0,37.84601659808467,37.935189964030826,bk_osm
STREETTYPE_AVE,24,STREETTYPE_AVE,150,0.18091034575226522,0.0,0.0,37.41430781850519,42.802242614097985,seg_attr
RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT,1578,RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT,150,0.17668071015165948,0.0,0.0,36.53992874726783,36.68829945231406,parking
STREETTYPE_TER,107,STREETTYPE_TER,100,0.17542420822761817,0.0,0.0,23.46479883621797,23.57857774558905,seg_attr
